,Location,Total Cases,Total Deaths,Total Recovered
17595,Kepulauan Bangka Belitung,36658,784,29307
17596,Kepulauan Riau,47074,1272,40674
17597,Lampung,37815,2366,27511
17598,Maluku,13605,233,10280
17599,Maluku Utara,10297,246,7670
17600,Nusa Tenggara Barat,20822,580,18412
17601,Nusa Tenggara Timur,42675,794,30331
17602,Papua,28275,407,12894
17603,Papua Barat,19536,293,16535
17604,Riau,103193,2790,86433
17605,Sulawesi Barat,9064,186,7145
17606,Sulawesi Selatan,88618,1456,74305
17607,Sulawesi Tengah,26327,748,17782
17608,Sulawesi Tenggara,17297,390,13602
17609,Sulawesi Utara,25999,755,19736
17610,Sumatera Barat,75529,1594,59435
17611,Sumatera Selatan,49962,2241,37215
17612,Sumatera Utara,66997,1591,43554
17613,Aceh,24590,1040,17724
17614,Bali,83988,2377,67931
17615,Banten,119422,2284,96128
17616,Bengkulu,19820,299,15275
17617,DKI Jakarta,827844,12710,802273
17618,Daerah Istimewa Yogyakarta,127109,3766,85520
17619,Gorontalo,9019,254,7065
17621,Jambi,22274,494,16636
17622,Jawa Barat,628718,10371,521551
17623,Jawa Tengah,405760,21937,336805
17624,Jawa Timur,331287,22665,262241
17625,Kalimantan Barat,28592,709,22320
17626,Kalimantan Selatan,52391,1488,40430
17627,Kalimantan Tengah,36536,948,30350
17628,Kalimantan Timur,127845,3801,102376
17629,Kalimantan Utara,24421,423,17348
17630,Kepulauan Bangka Belitung,37520,809,29801
17631,Kepulauan Riau,47586,1272,41095
17632,Lampung,38511,2410,28130
17633,Maluku,13618,233,10383
17634,Maluku Utara,10486,246,7971
17635,Nusa Tenggara Barat,21024,584,18634
17636,Nusa Tenggara Timur,46273,813,31241
17637,Papua,28487,411,13146
17638,Papua Barat,19607,294,16844
17639,Riau,105398,2845,87548
17640,Sulawesi Barat,9207,188,7254
17641,Sulawesi Selatan,89784,1481,75438
17642,Sulawesi Tengah,27893,785,18164
17643,Sulawesi Tenggara,17498,396,13721
17644,Sulawesi Utara,26620,764,19929
17645,Sumatera Barat,76454,1619,60118
17646,Sumatera Selatan,50859,2305,37916
17647,Sumatera Utara,69042,1616,44556
17648,Aceh,24933,1053,17908
17649,Bali,85015,2416,69185
17650,Banten,120232,2298,98749
17651,Bengkulu,20051,302,15675
17652,DKI Jakarta,829852,12778,806829
17653,Daerah Istimewa Yogyakarta,128487,3849,87636
17654,Gorontalo,9183,262,7120
17656,Jambi,22594,503,17070
17657,Jawa Barat,632642,10442,525860
17658,Jawa Tengah,410423,22318,341652
17659,Jawa Timur,334726,22988,266773
17660,Kalimantan Barat,28955,714,22754
17661,Kalimantan Selatan,53299,1530,40952
17662,Kalimantan Tengah,36876,957,30536
17663,Kalimantan Timur,129631,3883,104106
17664,Kalimantan Utara,24875,438,17558
17665,Kepulauan Bangka Belitung,38145,830,30322
17666,Kepulauan Riau,47906,1272,41668
17667,Lampung,38948,2496,28757
17668,Maluku,13655,234,10442
17669,Maluku Utara,10662,251,8312
17670,Nusa Tenggara Barat,21296,589,18971
17671,Nusa Tenggara Timur,47300,869,34240
17672,Papua,28704,421,13363
